SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs2298755	4	100261038	C	G	0.602202	5e-4	0.0017	0.3222	1.19777375598e-7	55205	0.331845768838611
rs283413	4	100268190	A	C	0.01008600000000004	-0.1119	0.0863	0.1961	2.5003833536194585e-4	1230	0.20507642921526
rs150848708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs181871933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs17264946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7719574	5	25063303	A	C	0.383616	-3e-4	0.0017	0.7334	4.2561857617919996e-8	55406.44	0.738468772735764
rs55897521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs115599192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11982791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs185211959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs322819	7	127733365	A	G	0.335048	0.0034	0.0017	0.05406	5.150924167531519e-6	55406.22	0.0589824760659657
rs6969458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs111988120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs188917658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4734100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4316229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79649709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs66646187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7933896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7131465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150578239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2122692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs35566689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117282209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1123285	14	57274519	C	G	0.660548	5e-4	0.0018	0.8747	1.1211216984799999e-7	55052.37	0.877153928736278
rs8012947	14	58784455	A	G	0.273868	0.0014	0.0019	0.5063	7.7954812881792e-7	55449.74	0.5147310536516
rs56938526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114358603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55875685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12930148	16	71459146	T	G	0.415091	-9e-4	0.0022	0.5153	3.9332054798478e-7	52851.07	0.523628264474901
rs8073177	17	7440584	T	C	0.219711	-0.002	0.0022	0.1436	1.371504611832e-6	54227	0.151674618484275
rs148254899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs76774888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73215809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
